platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,5bb855a7-7d65-45b8-9b56-ffbafc54b3f5,128,True,1,0,1190.0,1180.0,7.8125,7.8125,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,6d2396e2-88c0-452f-9b69-510571b6e64e,128,False,1,0,1220.0,1220.0,7.765625,7.765625,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,6dc1686b-9aca-4fae-97ec-20e79c1c4dd0,128,False,1,0,1190.0,1190.0,7.6875,7.6875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,2ee555ae-2f63-48b5-bd89-8957050f6afc,128,False,1,0,1150.0,1150.0,7.74609375,7.74609375,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,f186a638-c1d0-4e63-86cc-4c90237192c0,128,False,1,0,1250.0,1240.0,7.69140625,7.69140625,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,206d21a8-c5b3-4182-b83d-41d1be05c0d7,128,True,1,0,1150.0,1150.0,7.875,7.875,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,47b104cc-e307-4412-853d-4d165adec2b0,128,False,1,0,1150.0,1150.0,7.8359375,7.8359375,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,4a7583a1-5acf-4c05-aafe-44a581ca984b,128,False,1,0,1220.0,1210.0,7.75,7.75,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,842a16ba-71cf-41bc-9c06-e0f41b592e63,128,False,1,0,1190.0,1190.0,7.6328125,7.6328125,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,c0c580a0-77ba-42cc-a9df-4c785c321a77,128,False,1,0,1210.0,1200.0,7.84765625,7.84765625,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,cadefec7-667b-40ce-a34e-8b69c46fc24a,128,True,1,0,1150.0,1150.0,7.91015625,7.91015625,0,0,0.0
docker_ubuntu22_on_ubuntu20,cpuintensive,9278f544-fa3d-4361-80b0-1738251a3b0d,b3b7d3df-d07d-4042-8aee-64eceb8d1fea,128,False,1,0,1180.0,1180.0,7.67578125,7.67578125,0,0,0.0
