Target,Model,MAE,RMSE,Train Time (s)
Energy,Linear Regression,0.8465488434550847,1.1162362613981447,0.04741358757019043
Energy,Random Forest,1.0035318978966241,1.2914624197201765,13.032228469848633
Energy,HGBDT (Ours),0.9038440672108566,1.1962261792111368,1.0639400482177734
Latency,Linear Regression,3.5737798840429793,5.619454251415309,0.003473520278930664
Latency,Random Forest,0.142925065943553,1.1526130949565032,11.4395272731781
Latency,HGBDT (Ours),0.1820301811181864,1.1253306445797993,0.8767650127410889
