platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules,display_name,suite,workload_type,partition,resource_profile,resource_profile_index,resource_profile_label,plot_workload_name,omp_threads,benchmark_name,input_profile,package_name,build_config,target_seconds,target_iterations,work_mode,elapsed_seconds,iterations_completed,command_runs,cpu_limit,idle_gap_ms,run_index,launch_overhead_ms,cpu_user_time_ms,cpu_system_time_ms,cpu_util_pct,cpu_nr_periods,cpu_nr_throttled,cpu_throttled_ms,cpu_throttled_pct,memory_current_mb,memory_peak_mb,memory_avg_mb,memory_util_pct,memory_peak_util_pct,memory_avg_util_pct,memory_max_events,memory_high_events,memory_oom_events,memory_oom_kill_events,cpu_pressure_some_avg10,cpu_pressure_full_avg10,memory_pressure_some_avg10,memory_pressure_full_avg10,queue_length,queue_signal_available,monitor_sample_count,instrumentation_mode,rapl_wrapped,window_index,window_start_ms,window_end_ms,sample_kind,service_time_ms,throughput_ops_per_s
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.54781248420477,211.6,90.80859375,92.06640625,0,155648,4.2888029529939065,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,130.0,50.0,84.11919702672303,3,3,317.42,126.18674631485078,90.80859375,92.06640625,91.380859375,8.868026733398438,8.990859985351562,8.923912048339844,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,11,2445.6202182918787,2697.1680307760835,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.45188439637423,300.011,89.27734375,92.06640625,0,155648,3.971283064721323,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,240.0,90.0,119.31149401413114,2,2,401.262,159.57804450869565,89.27734375,92.06640625,90.04296875,8.718490600585938,8.990859985351562,8.793258666992188,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,12,2697.1680307760835,2948.6199151724577,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,250.95773581415415,194.749,59.50390625,92.06640625,0,155648,2.2913662956422427,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,150.0,50.0,77.60230995398392,3,3,461.824,184.0246121530209,59.50390625,92.06640625,74.390625,5.8109283447265625,8.990859985351562,7.26470947265625,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,13,2948.6199151724577,3199.577650986612,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,250.57595130056143,270.207,12.7734375,92.06640625,0,155648,2.407643150745027,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,190.0,70.0,107.83437061599398,2,2,440.956,175.97698331037407,12.7734375,92.06640625,36.138671875,1.247406005859375,8.990859985351562,3.5291671752929688,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,14,3199.577650986612,3450.1536022871733,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.28130801022053,239.053,88.5546875,92.06640625,0,0,2.2653084632222718,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,180.0,40.0,95.13361813218388,3,3,357.344,142.2087471724978,88.5546875,92.06640625,50.6640625,8.647918701171875,8.990859985351562,4.947662353515625,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,15,3450.1536022871733,3701.434910297394,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,250.88598020374775,282.792,88.28515625,92.06640625,0,155648,3.6257284452654273,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,190.0,60.0,112.71733867725129,2,2,78.798,31.407892914545137,88.28515625,92.06640625,88.419921875,8.621597290039062,8.990859985351562,8.634757995605469,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,16,3701.434910297394,3952.3208905011415,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,250.43497327715158,225.689,82.4453125,92.06640625,0,155648,4.5661232018281,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,150.0,60.0,90.11880291585086,3,3,274.266,109.51585412013326,82.4453125,92.06640625,85.365234375,8.051300048828125,8.990859985351562,8.336448669433594,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,17,3952.3208905011415,4202.755863778293,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.53800286352634,269.85,11.4453125,92.06640625,0,311296,6.305443047104517,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,160.0,80.0,107.28001213653945,2,2,138.077,54.89309703826925,11.4453125,92.06640625,46.9453125,1.117706298828125,8.990859985351562,4.584503173828125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,18,4202.755863778293,4454.2938666418195,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.39570515602827,228.739,90.08984375,92.06640625,0,0,4.415823251273723,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,160.0,30.0,90.98763236946851,3,3,249.114,99.09238498938869,90.08984375,92.06640625,50.767578125,8.797836303710938,8.990859985351562,4.957771301269531,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,19,4454.2938666418195,4705.689571797848,telemetry_window,312.08122145269334,3.2042940467393177
docker_ubuntu22_on_ubuntu20,sebs_video_processing_unseen,8b7a6244-b874-4e07-af33-882e0f8e3e5a,52f82f1e-0224-42da-a2f9-15d8a1a92d14,1024,False,1,0.0,251.4496250078082,268.518,91.46875,92.06640625,0,155648,4.492949619454794,Multimedia (video-processing),SeBS,multimedia,unseen,cpu,2,cpu2,video-processing_cpu2,1,video-processing,large,,,30.0,,fixed_duration,30.271878480911255,97,97,1.0,0.0,1,,220.0,60.0,106.78798983759141,2,2,158.73,63.125964095222244,91.46875,92.06640625,90.779296875,8.9324951171875,8.990859985351562,8.865165710449219,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,docker_cgroup_sampling_windows,,20,4705.689571797848,4957.139196805656,telemetry_window,312.08122145269334,3.2042940467393177
