Target,Model,MAE,RMSE,Train Time (s)
Energy,Linear Regression,3.0618727578477785,5.314928705422024,0.05003929138183594
Energy,Random Forest,3.1286591599296214,6.001740226298879,0.3446817398071289
Energy,HGBDT (Ours),2.9092080622605714,5.275117901235573,0.7225468158721924
Latency,Linear Regression,4.582001077577018,4.82038810840882,0.0006613731384277344
Latency,Random Forest,2.855406370656372,4.866093802730373,0.22989392280578613
Latency,HGBDT (Ours),3.907004477220313,5.154640969040147,0.7975912094116211
